ROAD_NAME,DISTRICT,LENGTH
ถนน ณ ระนอง,คลองเตย,0.65
ถนนกรุงธนบุรี,คลองสาน,2.43
ถนนกรุงเกษม,ป้อมปราบศัตรูพ่าย,3.102
ถนนกรุงเกษม,พระนคร,0.9139999999999999
ถนนกรุงเทพ-นนทบุรี,บางซื่อ,3.617
ถนนกัลยาณไมตรี,พระนคร,0.45899999999999996
ถนนขาว,ดุสิต,0.35
ถนนข้าวหลาม,สัมพันธวงศ์,0.245
ถนนครุใน,ทุ่งครุ,0.68
ถนนคลองสิบ-คลองสิบสี่,หนองจอก,5.7
ถนนคลองหนองใหญ่,บางแค,1.88
ถนนคลองเก้า,หนองจอก,5.75
ถนนคอนแวนต์,บางรัก,0.546
ถนนคุ้มเกล้า,ลาดกระบัง,6.6
ถนนคู้-คลองสิบ,หนองจอก,7.254
ถนนคู้บอน,คลองสามวา,2.5
ถนนคู้บอน,คันนายาว,1.915
ถนนจตุโชติ,สายไหม,5.45
ถนนจรัญสนิทวงศ์,บางกอกน้อย,6.664
ถนนจรัญสนิทวงศ์,บางกอกใหญ่,1.77
ถนนจรัญสนิทวงศ์,บางพลัด,5.4
ถนนจรัสเมือง,ปทุมวัน,0.235
ถนนจอมทอง,จอมทอง,2.05
ถนนจักรพงษ์,พระนคร,0.675
ถนนจักรพรรดิพงษ์,ป้อมปราบศัตรูพ่าย,0.937
ถนนจักรวรรดิ์,สัมพันธวงศ์,0.687
ถนนจันทน์,บางคอแหลม,0.55
ถนนจันทน์,ยานนาวา,0.85
ถนนจันทน์,สาทร,3.532
ถนนจันทน์เก่า,ยานนาวา,0.54
ถนนจันทิมา,วังทองหลาง,2.8
ถนนจันทิมา,ห้วยขวาง,0.752
ถนนจารุเมือง,ปทุมวัน,0.4
ถนนฉลองกรุง,ลาดกระบัง,7.0
ถนนฉลองกรุง,หนองจอก,3.331
ถนนฉิมพลี,ตลิ่งชัน,5.1899999999999995
ถนนชัยพฤกษ์,ตลิ่งชัน,1.66
ถนนชิดลม,ปทุมวัน,0.59
ถนนชิดลม,ราชเทวี,0.06
ถนนดำรงค์รักษ์,ป้อมปราบศัตรูพ่าย,1.251
ถนนดินสอ,พระนคร,0.84
ถนนดินแดง,ดินแดง,0.8
ถนนดินแดง,พญาไท,0.54
ถนนตรีมิตร,สัมพันธวงศ์,0.185
ถนนตรีเพชร,พระนคร,0.65
ถนนตะนาว,พระนคร,0.92
ถนนตานี,พระนคร,0.215
ถนนตีทอง,พระนคร,0.505
ถนนทรงวาด,สัมพันธวงศ์,1.016
ถนนทรงสวัสดิ์,สัมพันธวงศ์,0.52
ถนนทรัพย์,บางรัก,0.375
ถนนทวีวัฒนา,หนองแขม,3.6
ถนนทวีวัฒนา-กาญจนาภิเษก,ทวีวัฒนา,9.21
ถนนทหาร,ดุสิต,1.53
ถนนทับยาว,ลาดกระบัง,4.015
ถนนทางรถไฟสายปากน้ำเก่า,คลองเตย,4.849
ถนนทางรถไฟสายปากน้ำเก่า,บางนา,2.1
ถนนทางรถไฟสายปากน้ำเก่า,พระโขนง,1.747
ถนนทุ่งมังกร,ตลิ่งชัน,0.86
ถนนท่าข้าม,บางขุนเทียน,2.95
ถนนท่าดินแดง,คลองสาน,0.9
ถนนท้ายวัง,พระนคร,0.45
ถนนนครปฐม,ดุสิต,0.668
ถนนนครราชสีมา,ดุสิต,0.834
ถนนนครสวรรค์,ดุสิต,0.27
ถนนนครสวรรค์,ป้อมปราบศัตรูพ่าย,0.8400000000000001
ถนนนครไชยศรี,ดุสิต,3.185
ถนนนครไชยศรี,พญาไท,2.785
ถนนนนทรี,ยานนาวา,2.78
ถนนนราธิวาสราชนครินทร์,บางรัก,0.836
ถนนนราธิวาสราชนครินทร์,ยานนาวา,1.62
ถนนนราธิวาสราชนครินทร์,สาทร,1.794
ถนนนวมินทร์,คันนายาว,0.6
ถนนนวมินทร์,บางกะปิ,2.21
ถนนนวลจันทร์,บึงกุ่ม,3.47
ถนนนาคนิวาส,ลาดพร้าว,3.045
ถนนนางลิ้นจี่,ยานนาวา,0.995
ถนนนางลิ้นจี่,สาทร,0.67
ถนนนาวงประชาพัฒนา,ดอนเมือง,2.37
ถนนนิคมมักกะสัน,ราชเทวี,1.565
ถนนนิมิตใหม่,คลองสามวา,14.2
ถนนนิมิตใหม่,มีนบุรี,14.2
ถนนนเรศ,บางรัก,0.845
ถนนบรรทัดทอง,ปทุมวัน,1.575
ถนนบรรทัดทอง,ราชเทวี,0.58
ถนนบริพัตร,ป้อมปราบศัตรูพ่าย,1.2650000000000001
ถนนบริพัตร,สัมพันธวงศ์,0.23
ถนนบวรนิเวศน์,พระนคร,0.14
ถนนบางกระดี่,บางขุนเทียน,3.54
ถนนบางขุนนนท์,บางกอกน้อย,1.9
ถนนบางขุนเทียน,บางบอน,1.945
ถนนบางขุนเทียนชายทะเล,บางขุนเทียน,16.178
ถนนบางบอน 1 (ถนนบางบอน-บางแค),บางบอน,1.1
ถนนบางบอน 2 (ซอยกาญจนาภิเษก 3),บางบอน,1.78
ถนนบางบอน 2 (ซอยกาญจนาภิเษก 3),บางแค,3.01
ถนนบางบอน 2-3 (ซอยร่มไทร),บางแค,1.88
ถนนบางบอน 3,บางบอน,2.29
ถนนบางบอน 3,หนองแขม,2.25
ถนนบางบอน 4,บางบอน,4.0
ถนนบางบอน 5,บางบอน,3.1
ถนนบางบอน 5,หนองแขม,2.0
ถนนบางพรม (ถนนวัดแก้ว-พุทธมณฑลสาย 1),ตลิ่งชัน,2.3156
ถนนบางระมาด,ตลิ่งชัน,2.54
ถนนบางเชือกหนัง,ตลิ่งชัน,2.5
ถนนบางแค-บางบอน (ถนนสุขาภิบาล 1),บางแค,3.2
ถนนบางแวก,บางแค,7.85
ถนนบางแวก,ภาษีเจริญ,5.5
ถนนบำรุงเมือง,ป้อมปราบศัตรูพ่าย,1.3820000000000001
ถนนบำรุงเมือง,พระนคร,0.9630000000000001
ถนนบุรีภิรมย์,หนองจอก,0.278
ถนนบูรพา,พระนคร,0.235
ถนนประชาชื่น,บางซื่อ,5.0
ถนนประชาธิปก,คลองสาน,1.248
ถนนประชาธิปก,ธนบุรี,1.248
ถนนประชาธิปไตย,พระนคร,0.721
ถนนประชาพัฒนา,ลาดกระบัง,3.562
ถนนประชาราษฎร์บำเพ็ญ,ดินแดง,0.152
ถนนประชาราษฎร์บำเพ็ญ,ห้วยขวาง,1.48
ถนนประชาราษฎร์สาย 1,ดุสิต,0.27
ถนนประชาราษฎร์สาย 1,บางซื่อ,3.0
ถนนประชาราษฎร์สาย 2,บางซื่อ,1.774
ถนนประชาร่วมใจ,คลองสามวา,7.0
ถนนประชาร่วมใจ,มีนบุรี,7.0
ถนนประชาสงเคราะห์,ดินแดง,3.688
ถนนประชาสำราญ,หนองจอก,8.8
ถนนประชาสุข,ดินแดง,1.24
ถนนประชาอุทิศ,ทุ่งครุ,6.7
ถนนประชาอุทิศ,ราษฎร์บูรณะ,2.275
ถนนประชาอุทิศ,วังทองหลาง,1.1
ถนนประชาอุทิศ,ห้วยขวาง,1.3
ถนนประดิพัทธ์,ดุสิต,0.44
ถนนประดิพัทธ์,พญาไท,1.368
ถนนประดู่ 1,ยานนาวา,1.15
ถนนประมวญ,บางรัก,0.47
ถนนปั้น,บางรัก,0.47000000000000003
ถนนผดุงพันธ์,หนองจอก,3.778
ถนนพญาไท,ปทุมวัน,4.038
ถนนพญาไท,ราชเทวี,2.1719999999999997
ถนนพญาไม้,คลองสาน,0.51
ถนนพรมแดน (ซอยเอกชัย 131),บางบอน,3.205
ถนนพระจันทร์,พระนคร,0.343
ถนนพระพิทักษ์,พระนคร,0.09
ถนนพระพิพิธ,พระนคร,0.2
ถนนพระยาสุเรนทร์,คลองสามวา,7.285
ถนนพระยาสุเรนทร์,มีนบุรี,7.285
ถนนพระรามที่ 1,ปทุมวัน,2.826
ถนนพระรามที่ 3,คลองเตย,0.6
ถนนพระรามที่ 3,บางคอแหลม,2.75
ถนนพระรามที่ 3,ยานนาวา,6.0
ถนนพระรามที่ 4,คลองเตย,4.656
ถนนพระรามที่ 4,บางรัก,3.775
ถนนพระรามที่ 4,ปทุมวัน,4.297
ถนนพระรามที่ 4,ป้อมปราบศัตรูพ่าย,0.457
ถนนพระรามที่ 4,สัมพันธวงศ์,0.4
ถนนพระรามที่ 5,ดุสิต,4.03
ถนนพระรามที่ 6,ดุสิต,0.421
ถนนพระรามที่ 6,ปทุมวัน,0.92
ถนนพระรามที่ 6,พญาไท,3.24
ถนนพระรามที่ 6,ราชเทวี,4.974
ถนนพระสุเมรุ,พระนคร,1.36
ถนนพระอาทิตย์,พระนคร,0.555
ถนนพรานนก,บางกอกน้อย,1.89
ถนนพรานนก-พุทธมณฑล สาย 4,ตลิ่งชัน,5.867
ถนนพลับพลาไชย,ป้อมปราบศัตรูพ่าย,4.002
ถนนพหลโยธิน,จตุจักร,6.9871
ถนนพหลโยธิน,ดอนเมือง,2.95
ถนนพหลโยธิน,บางเขน,4.108
ถนนพหลโยธิน,พญาไท,3.362
ถนนพหลโยธิน,ราชเทวี,1.74
ถนนพัฒนา,ตลิ่งชัน,1.25
ถนนพัฒนาการ,ประเวศ,2.0
ถนนพัฒนาการ,สวนหลวง,5.75
ถนนพัฒนาชนบท 3,ลาดกระบัง,3.232
ถนนพัฒนาชนบท 4,ลาดกระบัง,2.468
ถนนพาหุรัด,พระนคร,0.525
ถนนพิชัย,ดุสิต,0.8520000000000001
ถนนพิบูลสงคราม,บางซื่อ,1.1
ถนนพิษณุโลก,ดุสิต,2.26
ถนนพุทธบูชา,จอมทอง,2.5
ถนนพุทธบูชา,ทุ่งครุ,3.7
ถนนพุทธมณฑลสาย 1 (สายใหม่),ภาษีเจริญ,4.48
ถนนพุทธมณฑลสาย 2,ทวีวัฒนา,5.4
ถนนพุทธมณฑลสาย 2,บางแค,9.9
ถนนพุทธมณฑลสาย 3,ทวีวัฒนา,5.15
ถนนพุทธมณฑลสาย 3,บางแค,3.0
ถนนพุทธมณฑลสาย 3,หนองแขม,2.2
ถนนพ่วงศิริ,บางกะปิ,0.18
ถนนมหรรณพ,พระนคร,0.28
ถนนมหานคร,บางรัก,1.355
ถนนมหาพฤฒาราม,บางรัก,1.307
ถนนมหาราช,พระนคร,1.6600000000000001
ถนนมหาเศรษฐ์,บางรัก,0.498
ถนนมหาไชย,พระนคร,1.236
ถนนมาเจริญ (ซอยเพชรเกษม 81),หนองแขม,3.069
ถนนมิตรพันธ์,ป้อมปราบศัตรูพ่าย,1.38
ถนนมิตรภาพไทย-จีน,สัมพันธวงศ์,0.225
ถนนมิตรไมตรี (เขตดินแดง),ดินแดง,1.648
ถนนมิตรไมตรี (เขตหนองจอก),หนองจอก,6.515
ถนนมิตรไมตรี 1,ดินแดง,0.709
ถนนมิตรไมตรี 2,ดินแดง,0.401
ถนนมิตรไมตรี 3,ดินแดง,0.6499999999999999
ถนนมีนพัฒนา,มีนบุรี,0.687
ถนนมเหศักดิ์,บางรัก,0.3
ถนนมไหสวรรย์,ธนบุรี,0.33
ถนนมไหสวรรย์,บางคอแหลม,0.35
ถนนยานนาวา,ยานนาวา,1.85
ถนนยุคล 2,ป้อมปราบศัตรูพ่าย,0.4
ถนนรองเมือง,ปทุมวัน,1.212
ถนนรอบวงเวียนใหญ่,คลองสาน,0.47
ถนนรอบวงเวียนใหญ่,ธนบุรี,0.47
ถนนรัชดาภิเษก,จตุจักร,5.494999999999999
ถนนรัชดาภิเษก,ดินแดง,5.66
ถนนรัชดาภิเษก,ธนบุรี,2.2
ถนนรัชดาภิเษก,บางกอกใหญ่,0.77
ถนนรัชดาภิเษก,บางซื่อ,1.2
ถนนรัชดาภิเษก,ห้วยขวาง,5.66
ถนนรัตนโกสินทร์ (สุขาภิบาล 5),บางเขน,2.26
ถนนรัตนโกสินทร์ (สุขาภิบาล 5),สายไหม,5.32
ถนนรางน้ำ,ราชเทวี,0.688
ถนนราชดำริ,ปทุมวัน,2.218
ถนนราชดำริ,ราชเทวี,2.218
ถนนราชดำเนินกลาง,พระนคร,1.2
ถนนราชดำเนินนอก,ดุสิต,1.475
ถนนราชดำเนินนอก,ป้อมปราบศัตรูพ่าย,1.475
ถนนราชดำเนินนอก,พระนคร,1.475
ถนนราชดำเนินใน,พระนคร,0.525
ถนนราชปรารภ,ราชเทวี,1.534
ถนนราชมนตรี,ภาษีเจริญ,2.5
ถนนราชวงศ์,สัมพันธวงศ์,0.7
ถนนราชวิถี,ดุสิต,2.432
ถนนราชวิถี,บางพลัด,0.75
ถนนราชวิถี,ราชเทวี,3.774
ถนนราชินี,พระนคร,2.052
ถนนรามคำแหง,บางกะปิ,3.898
ถนนรามคำแหง,มีนบุรี,3.5
ถนนรามคำแหง,สวนหลวง,1.553
ถนนรามคำแหง,สะพานสูง,5.2
ถนนรามคำแหง 39 (เทพลีลา),บางกะปิ,0.315
ถนนรามคำแหง 65,บางกะปิ,0.149
ถนนรามบุตรี,พระนคร,0.326
ถนนรามอินทรา 40,บึงกุ่ม,1.74
ถนนราษฎร์นิมิตร,คลองสามวา,2.1
ถนนราษฎร์บูรณะ,ราษฎร์บูรณะ,5.06
ถนนราษฎร์อุทิศ,มีนบุรี,6.5
ถนนร่มเกล้า 1,ลาดกระบัง,2.752
ถนนร่วมจิตต์,ดุสิต,0.5
ถนนร่วมพัฒนา (ถนนขุมทอง-ลำต้อยติ่ง),ลาดกระบัง,5.5600000000000005
ถนนร่วมพัฒนา (ถนนขุมทอง-ลำต้อยติ่ง),หนองจอก,6.25
ถนนลาดกระบัง,ลาดกระบัง,7.9
ถนนลาดปลาเค้า,บางเขน,2.05
ถนนลาดปลาเค้า,ลาดพร้าว,2.425
ถนนลาดพร้าว,จตุจักร,2.54
ถนนลาดพร้าว,บางกะปิ,2.5
ถนนลาดพร้าว,ห้วยขวาง,1.04
ถนนลาดพร้าว 101,บางกะปิ,2.48
ถนนลาดพร้าว 80,วังทองหลาง,1.45
ถนนลาดพร้าววังหิน,ลาดพร้าว,3.7379999999999995
ถนนลาดหญ้า,คลองสาน,1.832
ถนนลูกหลวง,ดุสิต,2.27
ถนนวงศ์สว่าง,บางซื่อ,1.8
ถนนวรจักร,ป้อมปราบศัตรูพ่าย,0.731
ถนนวังหลัง,บางกอกน้อย,0.327
ถนนวังเดิม,บางกอกใหญ่,0.467
ถนนวัชรพล,บางเขน,3.93
ถนนวัชรพล,สายไหม,2.1
ถนนวิทยุ,ปทุมวัน,2.899
ถนนวิทยุ,ราชเทวี,0.714
ถนนวิสุทธิกษัตริย์,พระนคร,1.473
ถนนวุฒากาศ,จอมทอง,1.16
ถนนวุฒากาศ,ธนบุรี,2.421
ถนนศรีนครินทร์,บางกะปิ,2.3
ถนนศรีนครินทร์,สวนหลวง,4.945
ถนนศรีบูรพา,บางกะปิ,2.25
ถนนศรีอยุธยา,ดุสิต,2.55
ถนนศรีอยุธยา,ราชเทวี,2.162
ถนนศาลาธรรมสพน์,ทวีวัฒนา,7.14
ถนนศาลาแดง,บางรัก,0.565
ถนนสกุลดี,หนองจอก,0.931
ถนนสนามไชย,พระนคร,1.004
ถนนสมเด็จพระปิ่นเกล้า,บางกอกน้อย,1.37
ถนนสมเด็จพระเจ้าตากสิน,คลองสาน,2.375
ถนนสมเด็จพระเจ้าตากสิน,ธนบุรี,3.47
ถนนสมเด็จเจ้าพระยา,คลองสาน,1.44
ถนนสรงประภา,ดอนเมือง,4.3
ถนนสรรพาวุธ,บางนา,2.0
ถนนสวนผัก,ตลิ่งชัน,8.04
ถนนสวนผัก,ทวีวัฒนา,1.65
ถนนสวนพลู,สาทร,0.854
ถนนสวนสยาม,คันนายาว,2.5
ถนนสวรรคโลก,ดุสิต,2.226
ถนนสะแกงาม,บางขุนเทียน,3.0
ถนนสังคโลก,ดุสิต,0.314
ถนนสังฆสันติสุข,หนองจอก,9.0
ถนนสันติภาพ,ป้อมปราบศัตรูพ่าย,0.52
ถนนสาทรเหนือ,บางรัก,6.496
ถนนสาทรใต้,สาทร,3.65
ถนนสาธุประดิษฐ์,ยานนาวา,3.5
ถนนสาธุประดิษฐ์,สาทร,3.5
ถนนสามวา,คลองสามวา,3.155
ถนนสามวา,มีนบุรี,3.155
ถนนสามเสน,ดุสิต,3.598
ถนนสามเสน,พระนคร,1.014
ถนนสายศาลธนบุรี (ถนนทรัพย์สิน-บางขุนเทียน),ภาษีเจริญ,1.125
ถนนสายไหม,สายไหม,5.7
ถนนสารสิน,ปทุมวัน,0.76
ถนนสาลีรัฐวิภาค,พญาไท,0.19999999999999998
ถนนสิบสามห้าง,พระนคร,0.165
ถนนสิรินธร,บางพลัด,2.9
ถนนสีลม,บางรัก,2.285
ถนนสีหบุรานุกิจ,มีนบุรี,1.7799999999999998
ถนนสี่พระยา,บางรัก,1.62
ถนนสุขสวัสดิ์,จอมทอง,1.62
ถนนสุขสวัสดิ์,ราษฎร์บูรณะ,1.305
ถนนสุขาภิบาล 2,ประเวศ,3.5
ถนนสุขาภิบาล 4 (ซอยรามอินทรา 23),บางเขน,1.26
ถนนสุขุมวิท,คลองเตย,7.1
ถนนสุขุมวิท,บางนา,4.5
ถนนสุขุมวิท,พระโขนง,2.46
ถนนสุคนธสวัสดิ์,บึงกุ่ม,0.3
ถนนสุคนธสวัสดิ์,ลาดพร้าว,3.585
ถนนสุคันธาราม,ดุสิต,0.756
ถนนสุทธิสารวินิจฉัย,ดินแดง,1.297
ถนนสุทธิสารวินิจฉัย,พญาไท,1.433
ถนนสุทธิสารวินิจฉัย,ห้วยขวาง,1.017
ถนนสุนทรโกษา,คลองเตย,1.16
ถนนสุรวงค์,บางรัก,1.948
ถนนสุรศักดิ์,บางรัก,0.45
ถนนสุโขทัย,ดุสิต,2.565
ถนนหทัยมิตร,คลองสามวา,1.1
ถนนหทัยราษฎร์,คลองสามวา,7.0
ถนนหทัยราษฎร์,มีนบุรี,7.0
ถนนหนองแขม-วัดศรีนวล,หนองแขม,2.237
ถนนหน้าพระธาตุ,พระนคร,0.775
ถนนหน้าพระลาน,พระนคร,0.566
ถนนหลวง,ป้อมปราบศัตรูพ่าย,1.296
ถนนหลวง,พระนคร,0.076
ถนนหลวงแพ่ง,ลาดกระบัง,7.14
ถนนหลังสวน,ปทุมวัน,1.06
ถนนหลานหลวง,ดุสิต,0.45
ถนนหลานหลวง,ป้อมปราบศัตรูพ่าย,1.09
ถนนอนามัยงามเจริญ (พระรามที่ 2 ซอย 47),บางขุนเทียน,5.02
ถนนอนุวงศ์,สัมพันธวงศ์,0.188
ถนนอยู่วิทยา,หนองจอก,5.28
ถนนอยู่เย็น,บางเขน,1.27
ถนนอยู่เย็น,ลาดพร้าว,0.34
ถนนอรุณอมรินทร์,ธนบุรี,0.943
ถนนอรุณอมรินทร์,บางกอกน้อย,2.402
ถนนอรุณอมรินทร์,บางกอกใหญ่,1.169
ถนนอรุณอมรินทร์,บางพลัด,1.1515
ถนนอังรีดูนังต์,ปทุมวัน,1.6
ถนนอัษฎางค์,พระนคร,1.65
ถนนอำนวยสงคราม,ดุสิต,1.234
ถนนอินทรพิทักษ์,ธนบุรี,0.617
ถนนอินทราวาส,ตลิ่งชัน,2.25
ถนนอินทาปัจ (ซอยเพชรเกษม 69),หนองแขม,1.937
ถนนอิสรภาพ,คลองสาน,0.76
ถนนอิสรภาพ,ธนบุรี,0.972
ถนนอิสรภาพ,บางกอกน้อย,1.62
ถนนอิสรภาพ,บางกอกใหญ่,1.395
ถนนอุณากรรณ,พระนคร,0.446
ถนนอู่ทองนอก,ดุสิต,0.37
ถนนอู่ทองใน,ดุสิต,0.74
ถนนอโศก-ดินแดง,ดินแดง,1.26
ถนนอโศก-ดินแดง,ราชเทวี,0.77
ถนนเกษมราษฎร์,คลองเตย,1.238
ถนนเขียวไข่กา,ดุสิต,0.35
ถนนเจริญกรุง,บางคอแหลม,2.907
ถนนเจริญกรุง,บางรัก,1.05
ถนนเจริญกรุง,ป้อมปราบศัตรูพ่าย,1.15
ถนนเจริญกรุง,พระนคร,0.8241
ถนนเจริญกรุง,สัมพันธวงศ์,2.15
ถนนเจริญกรุง,สาทร,0.934
ถนนเจริญนคร,คลองสาน,2.82
ถนนเจริญนคร,ธนบุรี,1.981
ถนนเจริญรัถ,คลองสาน,1.78
ถนนเจริญราษฎร์,บางคอแหลม,1.8
ถนนเจริญราษฎร์,สาทร,1.517
ถนนเจริญเมือง,ปทุมวัน,0.23
ถนนเจ้าคุณทหาร,ลาดกระบัง,5.025
ถนนเจ้าฟ้า,พระนคร,0.57
ถนนเฉลิมพงษ์,สายไหม,0.996
ถนนเฉลิมพระเกียรติ ร.9,ประเวศ,9.76
ถนนเชื่อมคลองมอญ,ลาดกระบัง,1.623
ถนนเชื่อมสัมพันธ์,หนองจอก,0.5469999999999999
ถนนเดโช,บางรัก,0.266
ถนนเตชะวณิช,ดุสิต,0.77
ถนนเตชะวณิช,บางซื่อ,0.8
ถนนเทพรักษ์,บางเขน,3.505
ถนนเทพรักษ์,สายไหม,1.7
ถนนเทศบาลสงเคราะห์ (ถนนประชานิเวศน์ 1),จตุจักร,1.687
ถนนเทอดไท,ธนบุรี,2.76
ถนนเทอดไท,บางแค,2.65
ถนนเทอดไท,ภาษีเจริญ,11.32
ถนนเพชรบุรี,ราชเทวี,1.74
ถนนเพชรบุรีตัดใหม่,สวนหลวง,3.5
ถนนเพชรบุรีตัดใหม่,ห้วยขวาง,7.291
ถนนเพชรพระราม (ถนนเลียบคลองแสนแสบ),ห้วยขวาง,0.8
ถนนเพชรอุทัย (ถนนเลียบคลองบางกะปิ),ห้วยขวาง,8.52
ถนนเพชรเกษม,บางกอกใหญ่,3.197
ถนนเพชรเกษม,บางแค,10.569
ถนนเพชรเกษม,ภาษีเจริญ,4.75
ถนนเพชรเกษม,หนองแขม,6.075
ถนนเพลินจิต,ปทุมวัน,1.123
ถนนเฟื่องนคร,พระนคร,0.46
ถนนเยาวราช,พระนคร,0.198
ถนนเยาวราช,สัมพันธวงศ์,2.864
ถนนเย็นจิต,สาทร,0.59
ถนนเย็นอากาศ,ยานนาวา,1.24
ถนนเย็นอากาศ,สาทร,1.08
ถนนเลียบคลองภาษีเจริญฝั่งเหนือ,หนองแขม,5.3
ถนนเลียบคลองภาษีเจริญฝั่งใต้,หนองแขม,4.95
ถนนเลียบคลองมอญ,ลาดกระบัง,4.814
ถนนเลียบคลองสอง,คลองสามวา,3.154
ถนนเลียบทางรถไฟ,ตลิ่งชัน,0.9
ถนนเลียบวารี,หนองจอก,7.1
ถนนเศรษฐศิริ,ดุสิต,0.693
ถนนเศรษฐศิริ 1,พญาไท,0.247
ถนนเศรษฐศิริ 2,พญาไท,0.248
ถนนเสนานิคม 1,จตุจักร,2.14
ถนนเสนานิคม 1,ลาดพร้าว,1.23
ถนนเสรีไทย,คันนายาว,3.3
ถนนเสรีไทย,บางกะปิ,1.15
ถนนเสรีไทย,บึงกุ่ม,2.85
ถนนเสรีไทย,มีนบุรี,1.805
ถนนเสือป่า,ป้อมปราบศัตรูพ่าย,0.4
ถนนเอกชัย,จอมทอง,2.8
ถนนแก้วเงินทอง,ตลิ่งชัน,3.22
ถนนแบริ่ง-ลาซาล,บางนา,0.817
ถนนแสมดำ,บางขุนเทียน,2.95
ถนนแฮปปี้แลนด์สาย 1,บางกะปิ,0.67
ถนนโชคชัย 4,ลาดพร้าว,3.131
ถนนโชคชัย 4,วังทองหลาง,0.76
ถนนโพธิ์แก้ว,บางกะปิ,1.515
ถนนโพธิ์แก้ว,บึงกุ่ม,0.91
ถนนโยธินพัฒนา,บางกะปิ,1.01
ถนนโยธินพัฒนา,ลาดพร้าว,1.125
ถนนโยธี,ราชเทวี,1.05
ถนนไกรสีห์,พระนคร,0.194
ถนนไมตรีจิต,คลองสามวา,5.6
ถนนไมตรีจิตต์,ป้อมปราบศัตรูพ่าย,0.905
พระรามที่ 2 ซอย 100 (ถนนเข้าโรงเรียนพรมแดน),บางขุนเทียน,1.1
พระรามที่ 2 ซอย 50 (วัดกำแพง),บางขุนเทียน,1.5
พระรามที่ 2 ซอย 82 (ซอยรางโพธิ์),บางขุนเทียน,0.4
ศรีนครินทร์ 55 (ซอยหมู่บ้านเสรีวิลล่า),ประเวศ,1.15
สุขุมวิท 103 (ซอยอุดมสุข),บางนา,3.5
สุขุมวิท 103 (ซอยอุดมสุข),ประเวศ,0.605
สุขุมวิท 105 (ซอยลาซาล),บางนา,4.8
สุขุมวิท 107 (ซอยแบริ่ง),บางนา,0.069
สุขุมวิท 63 (เอกมัย),พระโขนง,2.662
สุขุมวิท 63 (เอกมัย),วัฒนา,2.662
สุขุมวิท 71 (ถนนปรีดี พนมยงค์),พระโขนง,2.834
สุขุมวิท 71 (ถนนปรีดี พนมยงค์),วัฒนา,2.834
สุขุมวิท 71 (ถนนปรีดี พนมยงค์),สวนหลวง,0.39
สุขุมวิท 77 (ซอยอ่อนนุช),ประเวศ,5.698
สุขุมวิท 77 (ซอยอ่อนนุช),วัฒนา,2.56
สุขุมวิท 77 (ซอยอ่อนนุช),สวนหลวง,4.735
