ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
147,ถนน,ถนนพหลโยธิน,พหลโยธิน 13,ถนนประดิพัทธ์,32.00,0.162,1985-01-31,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนประดิพัทธ์,ถนนกำแพงเพชร (คลองบางซื่อ),32.00,0.99,1985-01-31,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนกำแพงเพชร (คลองบางซื่อ),ถนนวิภาวดีรังสิต,32.00,1.43,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนวิภาวดีรังสิต,โรงเรียนหอวัง,32.00,1.05,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,โรงเรียนหอวัง,พหลโยธิน 32 (ซอยเสนานิคม 1),32.00,2.098,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,พหลโยธิน 32 (ซอยเสนานิคม 1),ถนนวามวงศ์วาน,32.00,0.705,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนวามวงศ์วาน,พหลโยธิน 42 (ซอยสุรางค์),32.00,0.0911,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,พหลโยธิน 42 (ซอยสุรางค์),เชิงสะพานบางบัว,32.00,1.613,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,คลองบางบัว,หน้าฌาปณสถานทองทัพอากาศ,33.80-34.90,1.651,2018-02-09,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,สะพานลอยหน้าห้างเทสโก้โลตัสหลักสี่,คลองถนน,31.64-33.52,2.457,2018-02-09,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,คลองถนน,แยกโรงเรียนนายเรืออากาศ,29.35-63.95,2.95,2018-04-03,ดอนเมือง,สำนักการโยธา,กรุงเทพมหานคร
148,ถนน,ถนนพัฒนา,ถนนพุทธมณฑลสาย 1,สุดเขตทาง (วัดศิริวัฒนาราม),16.00,1.25,2005-03-04,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
149,ถนน,ถนนพัฒนาการ,ถนนเพชรบุรี (สี่แยกคลองตัน),คลองบึงบ้านม้า,30.00,5.75,1999-02-16,สวนหลวง,สำนักการโยธา,กรุงเทพมหานคร
149,ถนน,ถนนพัฒนาการ,คลองบึงบ้านม้า,ถนนสุขุมวิท 77 (อ่อนนุช),30.90,2,1999-02-16,ประเวศ,สำนักการโยธา,กรุงเทพมหานคร
150,ถนน,ถนนพัฒนาชนบท 3,ถนนร่มเกล้า (ถนนร่มเกล้า 1),สถานีอนามัยคลองสองต้นนุ่น (สุดระยะ),30.00,3.232,1985-08-16,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
151,ถนน,ถนนพัฒนาชนบท 4,ถนนร่มเกล้า 1,สุดระยะ (บ.ฮอนด้าประเทศไทย จำกัด),30.00,2.468,2006-01-13,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
152,ถนน,ถนนพาหุรัด,ถนนจักรเพชร,ถนนบ้านหม้อ,19.50,0.525,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
153,ถนน,ถนนพิชัย,ถนนราชวิถี,ถนนนครไชยศรี,18.00,0.552,1983-10-11,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
153,ถนน,ถนนพิชัย,ถนนนครไชยศรี,ถนนอำนวยสงคราม,19.50,0.3,1983-10-11,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
154,ถนน,ถนนพิบูลสงคราม,แยกพิบูลสงคราม,สุดเขตกรุงเทพมหานคร,29.70-32.20,1.1,2004-07-12,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
155,ถนน,ถนนพิษณุโลก,ถนนสามเสน,ถนนนครราชสีมา,27.50,0.45,1984-05-22,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
155,ถนน,ถนนพิษณุโลก,ถนนนครราชสีมา,ถนนราชดำเนินนอก,31.50,0.395,1984-05-22,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
155,ถนน,ถนนพิษณุโลก,ถนนราชดำเนินนอก,ถนนพระรามที่ 5,24.50,0.4,1984-05-22,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
155,ถนน,ถนนพิษณุโลก,ถนนพระรามที่ 5,ถนนสวรรคโลก,31.50,1.015,1984-05-22,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
156,ถนน,ถนนพุทธบูชา,ถนนพระรามที่ 2,แนวลำรางสาธารณะ (สุดพื้นที่เขต),13.80-15.10,2.5,2003-01-31,จอมทอง,สำนักการโยธา,กรุงเทพมหานคร
156,ถนน,ถนนพุทธบูชา,สุดเขตพื้นที่,ถนนประชาอุทิศ,15.30-20.00,3.7,2004-12-03,ทุ่งครุ,สำนักการโยธา,กรุงเทพมหานคร
157,ถนน,ถนนพุทธมณฑลสาย 1 (สายใหม่),ถนนเพชรเกษม,คลองบางเชือกหนัง,50.00,4.48,2017-11-22,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
158,ถนน,ถนนพุทธมณฑลสาย 2,ถนนเพชรเกษม,เขตทางรถไฟ (คลองบางเชือกหนัง),50.00,9.9,1986-02-10,บางแค,สำนักการโยธา,กรุงเทพมหานคร
158,ถนน,ถนนพุทธมณฑลสาย 2,สุดเขตพื้นที่ (คลองบางเชือกหนัง),ทางรถไฟสายใต้,50.00,5.4,2011-10-13,ทวีวัฒนา,สำนักการโยธา,กรุงเทพมหานคร
159,ถนน,ถนนพุทธมณฑลสาย 3,ถนนเพชรเกษม,คลองทวีวัฒนา,50.00,2.2,2003-03-13,หนองแขม,สำนักการโยธา,กรุงเทพมหานคร
159,ถนน,ถนนพุทธมณฑลสาย 3,คลองทวีวัฒนา,คลองบางเชือกหนัง,50.00,3,2003-08-15,บางแค,สำนักการโยธา,กรุงเทพมหานคร
159,ถนน,ถนนพุทธมณฑลสาย 3,คลองบางเชือกหนัง,ทางรถไฟสายใต้,50.00,5.15,2003-11-21,ทวีวัฒนา,สำนักการโยธา,กรุงเทพมหานคร
160,ถนน,ถนนเพชรเกษม,สะพานเนาวจำเนียร,คลองวัดประดู่ (สะพานบางไผ่),40.00,3.197,1984-12-24,บางกอกใหญ่,สำนักการโยธา,กรุงเทพมหานคร
160,ถนน,ถนนเพชรเกษม,คลองบางกอกใหญ่,สุดพื้นที่เขต (คลองราชมนตรี),40.00,4.75,2011-01-19,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
160,ถนน,ถนนเพชรเกษม,เพชรเกษม 58 (ซ.เกษมสุข) (คลองราชมนตรี),สุดเขตกรุงเทพมหานคร (คลองทวีวัฒนา),40.00-50.00,10.569,1984-12-24,บางแค,สำนักการโยธา,กรุงเทพมหานคร
160,ถนน,ถนนเพชรเกษม,บ้านเลขที่ 186 ม.3,สุดเขต กทม.,50.00,6.075,1984-12-24,หนองแขม,สำนักการโยธา,กรุงเทพมหานคร
161,ถนน,ถนนเพชรบุรี,สะพานยมราช,ถนนพระรามที่ 6,22.50,0.24,1984-05-22,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
161,ถนน,ถนนเพชรบุรี,ถนนพระรามที่ 6,ถนนพญาไท,32.50,0.94,1984-05-22,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
161,ถนน,ถนนเพชรบุรี,ถนนพญาไท,เพชรบุรี 11 (ซอยสมประสงค์ 1),34.00,0.56,1984-05-22,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
162,ถนน,ถนนเพชรบุรีตัดใหม่,เพชรบุรี 11 (ซอยสมประสงค์ 1),คลองบางกะปิ,31.00,3.791,1984-05-22,ห้วยขวาง,สำนักการโยธา,กรุงเทพมหานคร
162,ถนน,ถนนเพชรบุรีตัดใหม่,คลองบางกะปิ,สี่แยกคลองตัน,32.00,3.5,1984-05-22,"ห้วยขวาง,สวนหลวง",สำนักการโยธา,กรุงเทพมหานคร
163,ถนน,ถนนเพชรพระราม (ถนนเลียบคลองแสนแสบ),ถนนพระราม 9,ถนนเพชรบุรี,29.54-30.00,0.8,2005-02-11,ห้วยขวาง,สำนักการโยธา,กรุงเทพมหานคร
164,ถนน,ถนนเพชรอุทัย (ถนนเลียบคลองบางกะปิ),ถนนเพชรบุรี,ถนนพระราม 9,30.00,8.52,1993-05-20,ห้วยขวาง,สำนักการโยธา,กรุงเทพมหานคร
165,ถนน,ถนนเพลินจิต,ถนนราชดำริ,ทางรถไฟ,29.00,1.123,1984-01-25,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
166,ถนน,ถนนโพธิ์แก้ว,ถนนนวมินทร์ (สุขาภิบาล 1),คลองตาหนัง (สุดพื้นที่เขต),20.00,0.91,2005-08-19,บึงกุ่ม,สำนักการโยธา,กรุงเทพมหานคร
166,ถนน,ถนนโพธิ์แก้ว,คลองตาหนัง (สุดพื้นที่เขต),ซอยลาดพร้าว 101,20.00,1.515,2005-04-12,บางกะปิ,สำนักการโยธา,กรุงเทพมหานคร
167,ถนน,ถนนเฟื่องนคร,ถนนเจริญกรุง,ถนนบำรุงเมือง,14.20-20.00,0.46,2005-08-19,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
168,ถนน,ถนนมหรรณพ,ถนนดินสอ,ถนนตะนาว,16.00,0.28,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
169,ถนน,ถนนมหาไชย,ถนนราชดำเนินกลาง,คลองสะพานถ่าน,21.50,0.92,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
169,ถนน,ถนนมหาไชย,คลองสะพานถ่าน,ถนนเยาวราช,22.50,0.316,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
170,ถนน,ถนนมหานคร,ถนนพระรามที่ 4,ถนนสี่พระยา,20.00-20.20,0.655,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
170,ถนน,ถนนมหานคร,ถนนพระรามที่ 4,ถนนสี่พระยา,19.30,0.7,1985-06-25,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
171,ถนน,ถนนมหาพฤฒาราม,ถนนพระรามที่ 4,ถนนเจริญกรุง,20.20,0.667,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
171,ถนน,ถนนมหาพฤฒาราม,ถนนพระรามที่ 4,ถนนเจริญกรุง,19.50,0.64,1985-06-25,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
172,ถนน,ถนนมหาราช,ถนนพระจันทร์,ถนนหน้าพระลาน,17.00,0.42,1983-12-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
172,ถนน,ถนนมหาราช,ถนนหน้าพระลาน,ถนนท้ายวัง,23.50,0.68,1983-12-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
172,ถนน,ถนนมหาราช,ถนนท้ายวัง,ถนนสนามไชย,18.00,0.56,1983-12-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
173,ถนน,ถนนมหาเศรษฐ์,ถนนสี่พระยา,ถนนสุรวงค์,20.00-20.30,0.498,2024-03-04,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
174,ถนน,ถนนมเหศักดิ์,ถนนสุรวงศ์,ถนนสีลม,16.44,0.3,2010-02-03,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
175,ถนน,ถนนมไหสวรรย์,ถนนสมเด็จพระเจ้าตากสิน,ถนนเจริญนคร,39.00,0.33,1984-08-20,ธนบุรี,สำนักการโยธา,กรุงเทพมหานคร
175,ถนน,ถนนมไหสวรรย์,สะพานกรุงเทพ,สี่แยกถนนตก,40.00-42.00,0.35,2002-03-07,บางคอแหลม,สำนักการโยธา,กรุงเทพมหานคร
176,ถนน,ถนนมาเจริญ (ซอยเพชรเกษม 81),ถนนเพชรเกษม,คลองภาษีเจริญ,16.00,3.069,1985-01-30,หนองแขม,สำนักการโยธา,กรุงเทพมหานคร
177,ถนน,ถนนมิตรพันธ์,ถนนกรุงเกษม,ถนนเจริญกรุง,15.50,0.69,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
177,ถนน,ถนนมิตรพันธ์,ถนนเจริญกรุง,สะพานนพวงศ์,15.80,0.69,1985-04-25,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
178,ถนน,ถนนมิตรภาพไทย-จีน,ถนนพระรามที่ 4,ถนนเจริญกรุง,16.00,0.225,2009-06-22,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
179,ถนน,ถนนมิตรไมตรี (เขตดินแดง),ถนนดินแดง,ถนนวิภาวดีรังสิตและถนนประชาสงเคราะห์,16.70-39.40,1.648,2003-12-31,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
180,ถนน,ถนนมิตรไมตรี (เขตหนองจอก),ถนนประชาร่วมใจ,สุดระยะ 6.515 กม.,30.00,6.515,1985-08-16,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
181,ถนน,ถนนมิตรไมตรี 1,ถนนมิตรไมตรี,หลังสนามกีฬาไทย - ญี่ปุ่น ดินแดง,13.00-15.00,0.709,2000-06-28,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
182,ถนน,ถนนมิตรไมตรี 2,ถนนมิตรไมตรี,ถนนมิตรไมตรี 3,10.50-14.00,0.401,2000-06-28,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
183,ถนน,ถนนมิตรไมตรี 3,ถนนมิตรไมตรี,ถนนประชาสงเคราะห์,11.00-13.00,0.36,2000-06-28,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
183,ถนน,ถนนมิตรไมตรี 3,ถนนมิตรไมตรี 2,ถนนประชาสงเคราะห์,6.20-14.50,0.29,2000-06-28,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
184,ถนน,ถนนมีนพัฒนา,ถนนรามคำแหง,ถนนเสรีไทย,32.00,0.687,1999-10-15,มีนบุรี,สำนักการโยธา,กรุงเทพมหานคร
185,ถนน,ถนนไมตรีจิต,ถนนนิมิตรใหม่,คลองเก้า (สุดพื้นที่เขต),10.00-30.00,5.6,2005-06-17,คลองสามวา,สำนักการโยธา,กรุงเทพมหานคร
186,ถนน,ถนนไมตรีจิตต์,ถนนพระรามที่ 4,วงเวียน 22 กรกฎา,16.00,0.476,1984-06-28,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
186,ถนน,ถนนไมตรีจิตต์,วงเวียน 22 กรกฎา,ถนนหลวง,16.00,0.429,1984-06-28,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
187,ถนน,ถนนยานนาวา,ถนนสาธุประดิษฐ์,ถนนพระรามที่ 3,29.10-32.25,1.85,2024-06-28,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
188,ถนน,ถนนยุคล 2,ถนนบำรุงเมือง,ถนนหลวง,19.50,0.4,1983-12-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
189,ถนน,ถนนเย็นจิต,ถนนจันทน์,วัดปรก 1,17.00,0.59,1999-08-05,สาทร,สำนักการโยธา,กรุงเทพมหานคร
190,ถนน,ถนนเย็นอากาศ,ถนนนางลิ้นจี่,ซอยศรีบำเพ็ญ (สุดพื้นที่เขต),10.10-10.80,1.24,2010-08-19,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
190,ถนน,ถนนเย็นอากาศ,ถนนนางลิ้นจี่,ซอยศรีบำเพ็ญ,8.00-8.50,1.08,1985-01-31,สาทร,สำนักการโยธา,กรุงเทพมหานคร
191,ถนน,ถนนเยาวราช,วงเวียนโอเดียน,ถนนราชวงศ์,16.50,0.891,1984-06-28,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
191,ถนน,ถนนเยาวราช,ซุ้มประตูเฉลิมพระเกียรติฯ,สุดพื้นที่เขต (คลองผดุงกรุงเกษม),20.80-24.90,1.432,2011-05-19,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
191,ถนน,ถนนเยาวราช,ถนนราชวงศ์,ถนนจักรวรรดิ์,23.50,0.343,1984-06-28,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
191,ถนน,ถนนเยาวราช,ถนนจักรวรรดิ์,ถนนจักรเพชร,20.00,0.198,1984-06-28,"พระนคร,สัมพันธวงศ์",สำนักการโยธา,กรุงเทพมหานคร
192,ถนน,ถนนโยธินพัฒนา,ถนนประดิษฐ์มนูธรรม,ถนนประดิษฐ์มนูธรรม,19.50-19.90,1.01,2018-04-05,บางกะปิ,สำนักการโยธา,กรุงเทพมหานคร
192,ถนน,ถนนโยธินพัฒนา,ซอยนาคนิวาส 16 (ซอยสหกรณ์ 1),ถนนประดิษฐ์มนูธรรม,17.65-20.25,0.687,2023-12-19,ลาดพร้าว,สำนักการโยธา,กรุงเทพมหานคร
192,ถนน,ถนนโยธินพัฒนา,ถนนประดิษฐ์มนูธรรม 23,ถนนประดิษฐ์มนูธรรม 25,17.55-24.15,0.438,2023-12-19,ลาดพร้าว,สำนักการโยธา,กรุงเทพมหานคร
193,ถนน,ถนนโยธี,ถนนพระรามที่ 6,ถนนพญาไท,16.00,1.05,1983-10-11,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
194,ถนน,ถนนร่มเกล้า 1,ถนนคู่ขนานมอเตอร์เวย์ กรุงเทพ-ชลบุรี,ถนนพัฒนาชนบท 3,12.00-15.00,2.752,2006-01-13,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
195,ถนน,ถนนร่วมจิตต์,ถนนนครไชยศรี,ถนนอำนวยสงคราม,17.00,0.5,2001-06-13,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
196,ถนน,ถนนร่วมพัฒนา (ถนนขุมทอง-ลำต้อยติ่ง),ถนนหลวงแพ่ง,คลองประเวศบุรีรมย์ (สุดระยะ),30.00,0.24,1985-07-18,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
196,ถนน,ถนนร่วมพัฒนา (ถนนขุมทอง-ลำต้อยติ่ง),ถนนสุวินทวงศ์,คลองลำตาอิน,30.00,6.25,1985-08-16,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
196,ถนน,ถนนร่วมพัฒนา (ถนนขุมทอง-ลำต้อยติ่ง),คลองลำตาอิน,เขตทางรถไฟ,30.00,3.12,1985-07-18,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
196,ถนน,ถนนร่วมพัฒนา (ถนนขุมทอง-ลำต้อยติ่ง),เขตทางรถไฟ,คลองประเวศบุรีรมย์,30.00,2.2,1985-07-18,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
197,ถนน,ถนนรองเมือง,ถนนพระรามที่ 1,ถนนพระรามที่ 4,10.90-19.30,1.212,2010-09-09,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
198,ถนน,ถนนรอบวงเวียนใหญ่,ถนนอินทรพิทักษ์,ถนนอินทรพิทักษ์,25.00-27.00,0.47,2023-12-21,"คลองสาน,ธนบุรี",สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,ถนนอโศก-ดินแดง (ถนนพระราม 9),ถนนประชาราษฎร์บำเพ็ญ,40.00,2.785,1994-10-18,"ดินแดง,ห้วยขวาง",สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,ถนนประชาราษฎร์บำเพ็ญ,ถนนสุทธิสารวินิจฉัย,40.00,1.155,1994-10-18,"ดินแดง,ห้วยขวาง",สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,ถนนสุทธิสารวินิจฉัย,ถนนลาดพร้าว,40.00,1.72,1994-10-18,"ดินแดง,ห้วยขวาง,จตุจักร",สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,ถนนลาดพร้าว,ถนนพหลโยธิน,40.00,2.675,1994-10-18,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,ถนนพหลโยธิน,ถนนวิภาวดีรังสิต,40.00,1.1,1994-10-18,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,ถนนประชาชื่น,ถนนกรุงเทพ-นนทบุรี,40.00,1.2,1999-10-15,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,สะพานข้ามคลองบางกอกใหญ่,ถนนสมเด็จพระเจ้าตากสิน,40.00-45.00,2.2,2024-10-08,ธนบุรี,สำนักการโยธา,กรุงเทพมหานคร
199,ถนน,ถนนรัชดาภิเษก,คลองบางกอกใหญ่,ถนนเพชรเกษม,40.00-50.50,0.77,2010-01-14,บางกอกใหญ่,สำนักการโยธา,กรุงเทพมหานคร
200,ถนน,ถนนรัตนโกสินทร์ (สุขาภิบาล 5),ถนนสายไหม,สุดพื้นที่เขต (คลองบัวมน),20.00,5.32,2003-03-03,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
200,ถนน,ถนนรัตนโกสินทร์ (สุขาภิบาล 5),สุดพื้นที่เเขต (คลองบัวมล),ห้าแยกวัชรพล,20.00,2.26,2005-02-11,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
201,ถนน,ถนนรางน้ำ,ถนนราชปรารภ,ถนนพญาไท,20.00,0.688,1983-10-11,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
202,ถนน,ถนนราชดำเนินกลาง,สะพานผ่านภิภพลีลา,สะพานผ่านฟ้าลีลาศ,58.00,1.2,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
203,ถนน,ถนนราชดำเนินนอก,สะพานผ่านฟ้าลีลาศ,สี่แยกถนนศรีอยุธยา,58.00,1.475,1984-01-25,"พระนคร,ป้อมปราบศัตรูพ่าย,ดุสิต",สำนักการโยธา,กรุงเทพมหานคร
204,ถนน,ถนนราชดำเนินใน,ถนนหน้าพระลาน,สะพานผ่านภิภพลีลา,44.00,0.525,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
205,ถนน,ถนนราชดำริ,ถนนพระรามที่ 4,สะพานเฉลิมโลก,37.00,2.218,1984-01-25,"ราชเทวี,ปทุมวัน",สำนักการโยธา,กรุงเทพมหานคร
206,ถนน,ถนนราชปรารภ,สะพานเฉลิมโลก,บ้านเลขที่ 314/13,28.00,0.15,1985-03-04,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
206,ถนน,ถนนราชปรารภ,บ้านเลขที่ 314/13,ถนนศรีอยุธยา,28.00,0.607,1985-03-04,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
206,ถนน,ถนนราชปรารภ,ถนนศรีอยุธยา,ถนนราชวิถี,27.00,0.777,1985-03-04,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
207,ถนน,ถนนราชมนตรี,ซอยเพชรเกษม 58,สุดเขต (คลองพระยาราชมนตรี),10.00-14.00,1.5,2003-12-31,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
207,ถนน,ถนนราชมนตรี,คลองบางแวก,สุดเขต (ลำกระโดงสาธารณะ),12.00-14.00,1,2003-12-31,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
208,ถนน,ถนนราชวงศ์,ถนนเจริญกรุง,ท่าน้ำราชวงศ์,10.00-11.00,0.7,2004-07-12,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,ถนนจรัญสนิทวงศ์,เชิงสะพานกรุงธนบุรี,40.10-40.70,0.75,2010-06-14,บางพลัด,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,สะพานกรุงธน,ถนนสามเสน,20.00,0.369,1985-03-04,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,ถนนสามเสน,ถนนนครราชสีมา,20.50,0.395,1985-03-04,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,ถนนนครราชสีมา,ถนนพระรามที่ 5,19.00,0.868,1985-03-04,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,ถนนพระรามที่ 5,ถนนสวรรคโลก,20.00,0.8,1985-03-04,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,ถนนสวรรคโลก,ถนนพระรามที่ 6,26.00,0.321,1985-03-04,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,ถนนพระรามที่ 6,อนุสาวรีย์ชัยสมรภูมิ,26.50,2.055,1985-03-04,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
209,ถนน,ถนนราชวิถี,อนุสาวรีย์ชัยสมรภูมิ,ถนนราชปรารภ,29.00,1.398,1985-03-04,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
210,ถนน,ถนนราชินี,ถนนพระอาทิตย์,ถนนหน้าพระธาตุ,40.00,0.221,1984-05-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
210,ถนน,ถนนราชินี,ถนนหน้าพระธาตุ,แยกเข้าถนนหน้าพระธาตุ,20.50,0.144,1984-05-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
210,ถนน,ถนนราชินี,แยกเข้าถนนหน้าพระธาตุ,ถนนราชดำเนินใน,20.00,0.15,1984-05-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
